time,g avg,g high,g low,°C avg,°C high,°C low,sample qty,rssi avg,rssi high,rssi low
12/15/2020  12:00:00 AM,0.039,0.052,0.022,25,25,25,30,-62,-58,-65.5
12/14/2020  11:00:00 PM,0.036,0.046,0.018,25,25,25,30,-62,-57,-65
12/14/2020  10:00:00 PM,0.039,0.052,0.022,25,25,25,30,-62,-55,-64.5
12/14/2020  9:00:00 PM,0.321,4.676,0.023,25,25,25,327,-63,-54,-70.5
12/14/2020  8:00:00 PM,0.272,4.497,0.025,25,26,25,182,-62,-54,-69
12/14/2020  7:00:00 PM,0.343,3.703,0.025,25,25,25,417,-62,-54.5,-75
12/14/2020  6:00:00 PM,0.384,4.687,0.026,25,25,25,327,-62,-53.5,-66.5
12/14/2020  5:00:00 PM,0.316,3.95,0.023,25,26,25,299,-62,-54,-66.5
12/14/2020  4:00:00 PM,0.322,3.51,0.021,25,25,25,217,-62,-53,-66.5
12/14/2020  3:00:00 PM,0.315,3.658,0.02,25,25,25,267,-62,-54,-78
12/14/2020  2:00:00 PM,0.335,4.24,0.028,25,25,25,207,-62,-55,-67
12/14/2020  1:00:00 PM,0.315,3.407,0.025,25,26,25,353,-62,-53,-67
12/14/2020  11:00:00 AM,0.365,4.148,0.028,25,25,25,247,-62,-54,-65.5
12/14/2020  10:00:00 AM,0.037,0.05,0.023,25,25,25,30,-62,-56,-65
12/14/2020  9:00:00 AM,0.038,0.052,0.025,25,26,24,30,-61,-54.5,-64
12/14/2020  8:00:00 AM,0.039,0.055,0.026,25,26,25,30,-60,-55,-64.5
12/14/2020  7:00:00 AM,0.038,0.05,0.026,26,26,26,29,-62,-55.5,-64
12/14/2020  6:00:00 AM,0.036,0.047,0.026,26,26,25,30,-60,-53.5,-65.5
12/14/2020  5:00:00 AM,0.038,0.052,0.021,26,26,25,30,-61,-51.5,-65
12/14/2020  4:00:00 AM,0.038,0.057,0.022,25,26,25,30,-62,-54.5,-65
12/14/2020  3:00:00 AM,0.036,0.052,0.025,25,26,25,30,-61,-53.5,-64
12/14/2020  2:00:00 AM,0.038,0.05,0.026,25,26,25,30,-62,-54.5,-65
12/14/2020  1:00:00 AM,0.038,0.047,0.025,25,25,25,30,-61,-56,-65.5
12/14/2020  12:00:00 AM,0.038,0.06,0.027,25,25,25,30,-62,-54,-64.5
12/13/2020  11:00:00 PM,0.037,0.05,0.021,25,25,25,30,-62,-54,-65.5
12/13/2020  10:00:00 PM,0.353,4.232,0.021,25,25,25,280,-62,-52,-65.5
12/13/2020  9:00:00 PM,0.336,4.472,0.023,25,25,25,517,-62,-51.5,-134
12/13/2020  8:00:00 PM,0.358,4.662,0.015,25,25,25,430,-62,-52,-73
12/13/2020  7:00:00 PM,0.248,3.175,0.026,25,25,25,137,-62,-52,-67
12/13/2020  6:00:00 PM,0.285,3.221,0.023,25,25,24,187,-63,-54,-66.5
12/13/2020  5:00:00 PM,0.313,4.825,0.025,25,25,25,421,-62,-52.5,-69
12/13/2020  4:00:00 PM,0.375,6.915,0.031,25,25,24,635,-63,-53.5,-68
12/13/2020  3:00:00 PM,0.393,3.718,0.022,25,25,23,602,-63,-55,-69
12/13/2020  2:00:00 PM,0.291,2.065,0.025,24,25,23,228,-62,-54.5,-65.5
