time,g,°C,rssi
1/19/2021  10:00:05 PM,0.045,26,-62
1/19/2021  9:58:05 PM,0.043,25,-64
1/19/2021  9:56:05 PM,0.035,25,-64
1/19/2021  9:54:05 PM,0.03,25,-64
1/19/2021  9:52:05 PM,0.038,25,-59
1/19/2021  9:50:05 PM,0.041,25,-64
1/19/2021  9:48:04 PM,0.048,25,-58
1/19/2021  9:46:04 PM,0.04,25,-64
1/19/2021  9:44:04 PM,0.046,25,-64
1/19/2021  9:42:04 PM,0.038,25,-64
1/19/2021  9:40:04 PM,0.035,25,-64
1/19/2021  9:38:04 PM,0.028,25,-60
1/19/2021  9:36:04 PM,0.033,25,-64
1/19/2021  9:34:04 PM,0.035,25,-62.5
1/19/2021  9:32:03 PM,0.042,25,-63
1/19/2021  9:30:03 PM,0.1,25,-63
1/19/2021  9:30:01 PM,0.247,25,-64
1/19/2021  9:28:31 PM,0.033,25,-63
1/19/2021  9:26:31 PM,0.045,25,-64
1/19/2021  9:24:31 PM,0.033,25,-64
1/19/2021  9:22:31 PM,0.045,25,-64
1/19/2021  9:20:31 PM,0.04,26,-62
1/19/2021  9:18:31 PM,0.045,25,-62
1/19/2021  9:16:30 PM,0.033,25,-71
1/19/2021  9:16:20 PM,0.137,25,-64.5
1/19/2021  9:16:18 PM,0.503,25,-62
1/19/2021  9:16:17 PM,1.208,26,-61
1/19/2021  9:16:16 PM,0.277,26,-63
1/19/2021  9:16:10 PM,0.038,25,-63
1/19/2021  9:15:55 PM,0.141,25,-58.5
1/19/2021  9:15:54 PM,0.366,25,-64.5
1/19/2021  9:15:50 PM,0.166,25,-64.5
1/19/2021  9:15:48 PM,0.29,25,-59
1/19/2021  9:15:31 PM,0.045,25,-65
1/19/2021  9:15:23 PM,0.16,25,-65
1/19/2021  9:15:15 PM,0.161,25,-63
1/19/2021  9:15:14 PM,0.291,25,-58.5
1/19/2021  9:15:12 PM,1.036,25,-63
1/19/2021  9:15:04 PM,0.127,25,-64
1/19/2021  9:15:02 PM,0.29,25,-65
1/19/2021  9:15:00 PM,0.171,25,-60.5
1/19/2021  9:14:59 PM,0.366,25,-64
1/19/2021  9:14:57 PM,0.177,25,-60
1/19/2021  9:14:45 PM,0.056,25,-59.5
1/19/2021  9:14:39 PM,0.16,25,-59
1/19/2021  9:14:38 PM,0.328,26,-65
1/19/2021  9:14:10 PM,0.12,25,-61.5
1/19/2021  9:14:06 PM,0.222,25,-64
1/19/2021  9:13:59 PM,0.085,25,-66
1/19/2021  9:13:55 PM,0.19,25,-63.5
1/19/2021  9:13:54 PM,0.328,25,-64.5
1/19/2021  9:13:29 PM,0.126,25,-57
1/19/2021  9:13:28 PM,0.242,25,-64
1/19/2021  9:13:26 PM,0.27,26,-60.5
1/19/2021  9:13:14 PM,0.105,26,-66
1/19/2021  9:13:13 PM,0.263,25,-56.5
1/19/2021  9:12:46 PM,0.093,25,-64
1/19/2021  9:12:44 PM,0.246,25,-65.5
1/19/2021  9:12:42 PM,0.828,25,-60.5
1/19/2021  9:12:16 PM,0.106,26,-65
1/19/2021  9:11:55 PM,0.055,26,-65.5
1/19/2021  9:11:50 PM,0.156,25,-63.5
1/19/2021  9:11:13 PM,0.116,26,-65
1/19/2021  9:10:58 PM,0.081,26,-64.5
1/19/2021  9:10:56 PM,0.211,26,-59.5
1/19/2021  9:10:54 PM,0.11,26,-64
1/19/2021  9:10:52 PM,0.218,25,-65.5
1/19/2021  9:10:37 PM,0.078,25,-62.5
